Entity,Code,Year,Trade (% of GDP)
Mexico,MEX,1980,22.43462
Mexico,MEX,1981,22.117275
Mexico,MEX,1982,24.134014
Mexico,MEX,1983,27.096102
Mexico,MEX,1984,25.672417
Mexico,MEX,1985,24.331293
Mexico,MEX,1986,29.606222
Mexico,MEX,1987,31.262321
Mexico,MEX,1988,38.790337
Mexico,MEX,1989,38.32965
Mexico,MEX,1990,38.519695
Mexico,MEX,1991,35.786533
Mexico,MEX,1992,35.553497
Mexico,MEX,1993,26.163124
Mexico,MEX,1994,29.158472
Mexico,MEX,1995,43.665833
Mexico,MEX,1996,47.767822
Mexico,MEX,1997,46.491875
Mexico,MEX,1998,48.031883
Mexico,MEX,1999,48.01225
Mexico,MEX,2000,49.910408
Mexico,MEX,2001,44.74011
Mexico,MEX,2002,45.209827
Mexico,MEX,2003,48.700417
Mexico,MEX,2004,52.04062
Mexico,MEX,2005,52.562645
Mexico,MEX,2006,54.482117
Mexico,MEX,2007,55.258526
Mexico,MEX,2008,56.36528
Mexico,MEX,2009,54.591743
Mexico,MEX,2010,59.273384
Mexico,MEX,2011,62.162388
Mexico,MEX,2012,64.257935
Mexico,MEX,2013,62.691673
Mexico,MEX,2014,64.09841
Mexico,MEX,2015,70.41297
Mexico,MEX,2016,75.6903
Mexico,MEX,2017,76.952126
Mexico,MEX,2018,80.21266
Mexico,MEX,2019,77.461975
Mexico,MEX,2020,76.85455
Mexico,MEX,2021,83.0693
Mexico,MEX,2022,88.798485
Mexico,MEX,2023,73.578865
