Year,urban_population
1980,66.3141
1981,66.910736
1982,67.49176
1983,68.05597
1984,68.60248
1985,69.13038
1986,69.63877
1987,70.12676
1988,70.593445
1989,71.03793
1990,71.45901
1991,71.8594
1992,72.24061
1993,72.60551
1994,72.95656
1995,73.296234
1996,73.62699
1997,73.95131
1998,74.271645
1999,74.59048
2000,74.92031
2001,75.29076
2002,75.684074
2003,76.04617
2004,76.32744
2005,76.47486
2006,76.498245
2007,76.50473
2008,76.50904
2009,76.5144
2010,76.524445
2011,76.56678
2012,76.65852
2013,76.79558
2014,76.97414
2015,77.190384
2016,77.440506
2017,77.720695
2018,78.02712
2019,78.35599
2020,78.67796
2021,78.9324
2022,79.199684
